Start,End,Event,Location,Attendees,Vul,Plan/Exec
0500,0530,Next Day DIM (Pre-Frag),MPC 1,1-2-3-4-5-6-7,AM,P
0600,0630,Next Day MAM (Frag),MPC 1,1-2-3-4-5-6,AM,P
0600,0700,LFE Mass Brief,MBR,8-9-4-7-6-10-11,AM,E
0615,0715,LFE OPFOR Brief,CCR,11,AM,E
0630,0700,LFE Post-LFE Brief (2202),CPT 1 Left,12,AM,E
0630,0700,LFE Post-LFE Brief (2205),CPT 1 Right,13,AM,E
0700,1500,SOF Shift Show,PAEI Tower,42,AM,P
0730,0830,Next Day Post-LFE Coord (2202),CPT 1 Left,41-15-16-17-18,AM,P
0730,0830,Next Day Post-LFE Coord (2205),CPT 1 Right,41-15-16-17-18,AM,P
0800,0800,Next Day ATO Change 1 Push,N/A,4-23,AM,P
0800,0845,MXG Standup,T-Dome,19,AM-PM,P
0800,0830,Next Day JECG Coord,CCR,20-10-21-22-23-24-25-3,AM,P
0830,0900,Next Day Post-LFE JECG Coord,CCR,26-6-23,AM,P
0830,0900,LFE FAA Recovery Discussion,CTS RM-172,27-28-29-30,AM,E
0900,0930,DF/CC Standup,CCR,9-31-19-32,AM-PM,P
0900,0945,Intel Coord Meeting,MBR,4-23-33,AM,P
1000,1100,LFE Vul on Display,MBR,0,AM,E
1000,1000,Next Day ATO Change 2 Push,N/A,4-23,AM,P
1030,1045,Next Day Initial Product Review,MPC 1,1-2-4-5-6,AM,P
1100,1130,Next Day DIM (Pre-Frag),MPC 2,1-2-3-4-5-6-7,PM,P
1130,1200,JECG Sync Meeting,CCR,23-20-28-10-21-22,AM-PM,P
1200,1230,Next Day MAM (Frag),MPC 2,1-2-3-4-5-6,PM,P
1200,1300,LFE Mass Brief,MBR,8-9-4-7-6-10-11,PM,E
1215,1315,LFE OPFOR Brief,CCR,11,PM,E
1300,1330,LFE Post-LFE Brief (2202),CPT 2 Left,12,PM,E
1300,1330,LFE Post-LFE Brief (2202),CPT 2 Right,13,PM,E
1300,1415,LFE OPFOR Pre-Pair/Pre-Mass,DDS 3,11,AM,E
1300,1400,Next Day GCAM (Final Product Review),MPC 1,9-1-2-4-5-6-10-3,AM,P
1300,1300,2 Day Out Intel Product Drop,N/A,4-23,AM,P
1315,1400,LFE Blue Shot Pre-Pair,MBR,34-35-36,AM,E
1315,1345,FAA Conference Call,CTS RM-172,28-10-29-30,AM-PM,P
1330,1430,Next Day Post-LFE Coord (2202),CPT 2 Left,41-15-16-17-18,PM,P
1330,1430,Next Day Post-LFE Coord (2202),CPT 2 Right,41-15-16-17-18,PM,P
1345,1400,Army Range Control Conf Call,CTS RM-172,39-37-38,AM-PM,P
1400,1400,Next Day ATO Change 1 Push,N/A,4-23,PM,P
1400,1430,Next Day JECG Coord,CCR,20-10-21-22-23-24-25-3,PM,P
1400,1430,LFE Blue Pre-Mass,MBR,6-8,AM,E
1430,1500,Next Day Post-LFE JECG Coord,CCR,26-6-23,PM,P
1430,1600,LFE Mass Debrief,MBR,8-9-4-6-10-11,AM,E
1445,1600,LFE CAS Vul Debrief (2202),CPT 1 Left,12,AM,E
1445,1600,LFE CAS Vul Debrief (2205),CPT 1 Right,13,AM,E
1500,1530,Next Day Post-LFE Plan Brief,CCR,26-6-10,AM,P
1500,1500,SOF Change-Over,PAEI Tower,42,AM-PM,P
1600,1600,Next Day ATO Change 2 Push,N/A,4-23,PM,P
1600,1645,Intel Coord Meeting,CCR,4-23-33,PM,P
1610,1710,LFE Vul on Display,MBR,0,PM,E
1620,1630,LFE MiG-1/SAM-1 Data Presentation,MBR,8-9-4-6-10-11,AM,E
1630,1645,Next Day Initial Product Review,MPC 2,1-2-4-5-6,PM,P
1630,1730,LFE DFP Development,MBR,8-9,AM,E
1630,1700,LFE JECG Debrief,OPS,11-23-6-10,AM,E
1630,1700,LFE OPFOR Debrief,MPC 1,11,AM,E
1700,1700,2 Day Out Intel Product Drop,N/A,4-23,PM,P
1730,1750,LFE DFP Presentation,MBR,8-9-4-6-10,AM,E
1845,2000,LFE OPFOR Pre-Pair/Pre-Mass,DDS 3,11,PM,E
1900,2000,Next Day GCAM (Final Product Review),MPC 2,9-1-2-4-5-6-10-3,PM,P
1900,1945,LFE Blue Shot Pre-Pair,MBR,34-35-36,PM,E
1945,2015,LFE Blue Pre-Mass,MBR,6-8,PM,E
2015,2145,LFE Mass Debrief,MBR,8-9-4-6-10-11,PM,E
2015,2045,Next Day Post-LFE Plan Brief,CCR,26-6-10,PM,P
2030,2145,LFE CAS Vul Debrief (2202),CPT 1 Left,12,PM,E
2030,2145,LFE CAS Vul Debrief (2205),CPT 1 Right,13,PM,E
2155,2205,LFE MiG-1/SAM-1 Data Presentation,MBR,8-9-4-6-10-11,PM,E
2205,2305,LFE DFP Development,MBR,8-9,PM,E
2205,2235,LFE JECG Debrief,OPS,11-23-6-10,PM,E
2205,2235,LFE OPFOR Debrief,MPC 2,11,PM,E
2305,2325,LFE DFP Presentation,MBR,8-9-4-6-10,PM,E
